ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC

School Name,State Name [Public School] Latest available year,State Name [Public School] 2016-17,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Location City [Public School] 2016-17,Location State Abbr [Public School] 2016-17,Location ZIP [Public School] 2016-17,Grade 12 offered [Public School] 2016-17,Grade 11 offered [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17
1 LT CHARLES W. WHITCOMB SCHOOL,Massachusetts,MASSACHUSETTS,250732002639,Marlborough,MA ,01752,2-No,2-No,11.22
100 ACADEMY OF ENGINEERING AND TECHNOLOGY ES,Nevada,NEVADA,320006000670,North Las Vegas,NV ,89032,2-No,2-No,21.28
100 ACADEMY OF ENGINEERING AND TECHNOLOGY MS,Nevada,NEVADA,320006000756,North Las Vegas,NV ,89032,2-No,2-No,39.33
10TH STREET SCHOOL,Washington,WASHINGTON,530486002475,Marysville,WA ,98271,2-No,2-No,24.79
112 ALC INDEPENDENT STUDY,Minnesota,MINNESOTA,270819004415,CHASKA,MN ,55317,1-Yes,1-Yes,†
112 ALC MIDDLE SCHOOL,Minnesota,MINNESOTA,270819004622,CHASKA,MN ,55318,2-No,2-No,742.31
12TH STREET ELEMENTARY,Michigan,MICHIGAN,262895007802,PORTAGE,MI ,49024,1-Yes,1-Yes,18.62
18+ PROGRAM,NEBRASKA,NEBRASKA,318009002335,HASTINGS,NE ,68901,1-Yes,1-Yes,0.00
1R ELEMENTARY,Nebraska,NEBRASKA,317458000209,GRAND ISLAND,NE ,68803,2-No,2-No,13.31
21ST CENTURY ACADEMY,Kentucky,KENTUCKY,210115002241,Hopkinsville,KY ,42240,1-Yes,1-Yes,†
21ST CENTURY CHARTER SCH OF GARY,Indiana,INDIANA,180004602162,Gary,IN ,46402,1-Yes,1-Yes,30.62
21ST CENTURY CYBER CS,Pennsylvania,PENNSYLVANIA,420009100597,Downingtown,PA ,19335,1-Yes,1-Yes,22.09
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,TEXAS,484496013299,WESLACO,TX ,78596,2-No,2-No,36.42
21ST CENTURY ESCHOOL,Wisconsin,WISCONSIN,550951002818,Middleton,WI ,53562,1-Yes,1-Yes,21.92
21ST CENTURY LEARNING ACADEMY/KIOWA COUNTY,Kansas,KANSAS,200672002055,Greensburg,KS ,67054,1-Yes,1-Yes,59.66
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,CALIFORNIA,060429013779,Beaumont,CA ,92223,1-Yes,1-Yes,29.19
21ST CENTURY PREPARATORY SCHOOL,Wisconsin,WISCONSIN,550004502575,Racine,WI ,53404,2-No,2-No,16.63
21ST CENTURY PRIMARY CENTER,Illinois,ILLINOIS,173081003429,Park Forest,IL ,60466,2-No,2-No,12.00
21ST CENTURY SKILLS ACADEMY,Massachusetts,MASSACHUSETTS,251251002790,West Springfield,MA ,01089,1-Yes,1-Yes,3.64
270 - HAP - IS,Minnesota,MINNESOTA,270002504573,HOPKINS,MN ,55305,1-Yes,1-Yes,0.00
270 ALICE SMITH ELEMENTARY  TS,Minnesota,†,270002502920,†,†,†,†,†,†
270 EISENHOWER ELEMENTARY TS,Minnesota,†,270002503029,†,†,†,†,†,†
270 GATEWOOD ELEMENTARY  TS,Minnesota,†,270002503028,†,†,†,†,†,†
270 HOPKINS ALTERNATIVE,Minnesota,MINNESOTA,270002502875,MINNETONKA,MN ,55305,1-Yes,1-Yes,†
270 HOPKINS IS,Minnesota,MINNESOTA,270002503114,HOPKINS,MN ,55305,1-Yes,1-Yes,3.85
270 HOPKINS NORTH JR HIGH ALC,Minnesota,MINNESOTA,270002503397,MINNETONKA,MN ,55305,1-Yes,1-Yes,†
270 HOPKINS NORTH JR HIGH TS,Minnesota,†,270002503122,†,†,†,†,†,†
270 HOPKINS WEST JR HIGH ALC,Minnesota,MINNESOTA,270002503396,MINNETONKA,MN ,55305,2-No,2-No,†
270 HOPKINS WEST JR HIGH TS,Minnesota,†,270002503119,†,†,†,†,†,†
270 MEADOWBROOK ELEM - TS,Minnesota,†,270002504079,†,†,†,†,†,†
270 TANGLEN ELEMENTARY - TS,Minnesota,†,270002503257,†,†,†,†,†,†
272 CEDAR RIDGE EL TS,Minnesota,†,270002504083,†,†,†,†,†,†
272 CENTRAL MID SCH TS,Minnesota,†,270002504082,†,†,†,†,†,†
272 CENTRAL MIDDLE SCH. ALT,Minnesota,MINNESOTA,270002504077,EDEN PRAIRIE,MN ,55344,2-No,2-No,0.00
272 EAGLE HGTS SPANISH IMMERSION-TS,Minnesota,†,270002503636,†,†,†,†,†,†
272 EDEN LAKE EL TS,Minnesota,†,270002504084,†,†,†,†,†,†
